state,B70,B80,B90,B00,Race70,Race80,Race90,Race00,Male,Female,Weight
AK,51242,113654,105998,49877,White,White,Unknown/Other,Unknown/Other,164167,156604,7.5746398562026505
CA,1670998,3629900,5637787,2678946,White,White,Unknown/Other,Unknown/Other,6970430,6647201,7.401035469679042
HI,89824,186942,188850,88713,Hawaiian,Hawaiian,Unknown/Other,Unknown/Other,285964,268365,7.1736179753603775
IL,1397150,1797474,1843683,897148,White,White,Unknown/Other,Unknown/Other,3039937,2895518,7.312527275879372
MD,370505,609998,693310,348348,White,White,Unknown/Other,Unknown/Other,1034221,987940,7.282543357038349
MN,422637,671236,650916,343655,White,White,Unknown/Other,Unknown/Other,1071371,1017073,7.497034868533617
MO,672110,781967,779789,387829,White,White,Unknown/Other,Unknown/Other,1343552,1278143,7.332408663429012
NY,1879186,2604629,2756438,1273872,White,White,Unknown/Other,Unknown/Other,4362241,4151884,7.262057177429838
OH,1087838,1626508,1581458,756541,White,White,Unknown/Other,Unknown/Other,2589618,2462727,7.334344776035752
PA,886028,1627529,1566324,724239,White,White,Unknown/Other,Unknown/Other,2461655,2342465,7.331208862675127
UT,206896,393592,410325,250708,White,White,Unknown/Other,Unknown/Other,647395,614126,7.313467328816331
WA,332423,694345,774363,399510,White,White,Unknown/Other,Unknown/Other,1127700,1072941,7.5188064244135315
WI,509458,724574,681722,341571,White,White,Unknown/Other,Unknown/Other,1156698,1100627,7.4856336346545085
CT,214321,434509,457373,215261,White,White,Unknown/Other,Unknown/Other,677690,643774,7.353975756456199
GA,437977,752039,1159109,679915,White,White,Unknown/Other,Unknown/Other,1548880,1480160,7.200401520774534
IN,520765,821970,843078,435164,White,White,Unknown/Other,Unknown/Other,1344077,1276900,7.36134628068056
KY,407531,537807,522151,267887,White,White,Unknown/Other,Unknown/Other,891367,844009,7.343500903861455
MI,1197144,1383837,1380486,654211,White,White,Unknown/Other,Unknown/Other,2366096,2249582,7.336718144916927
NC,640187,902477,1058895,598251,White,White,Unknown/Other,Unknown/Other,1636901,1562909,7.256806623025069
NV,69747,155239,245098,161567,White,White,Unknown/Other,Unknown/Other,323314,308337,7.2431923253419415
RI,111549,137347,143485,67464,White,White,Unknown/Other,Unknown/Other,235851,223994,7.327099812329941
TX,1645620,3023349,3317554,1886795,White,White,Unknown/Other,Unknown/Other,5049627,4823691,7.284715492750894
VA,534727,825564,926973,491497,White,White,Unknown/Other,Unknown/Other,1422707,1356054,7.309904559575635
FL,994490,1600711,1933717,1046507,White,White,Unknown/Other,Unknown/Other,2857061,2718364,7.269932786219404
ID,108560,175263,177600,103712,White,White,Unknown/Other,Unknown/Other,289704,275431,7.4075049454837325
TN,521845,722861,792957,419831,White,White,Unknown/Other,Unknown/Other,1260392,1197102,7.222322462434561
SC,381926,503197,521317,266587,White,White,Unknown/Other,Unknown/Other,855133,817894,7.17303191527768
AL,424093,595758,608498,296987,White,White,Unknown/Other,Unknown/Other,985157,940179,7.219678272259999
AR,170159,345142,345711,184871,White,White,Unknown/Other,Unknown/Other,536256,509627,7.260891265605151
AZ,200844,447626,728018,444092,White,White,Unknown/Other,Unknown/Other,931402,889178,7.314180638223748
CO,358653,539031,560622,339638,White,White,Unknown/Other,Unknown/Other,920917,877027,7.0771686247720815
DC,108771,153223,175611,74615,Black,Black,Unknown/Other,Unknown/Other,261525,250695,7.031684356247711
DE,44814,76516,111856,58923,White,White,Unknown/Other,Unknown/Other,149469,142640,7.295894206302897
IA,349812,424232,379409,190921,White,White,Unknown/Other,Unknown/Other,689457,654917,7.526622420170299
KS,270686,386907,364977,198714,White,White,Unknown/Other,Unknown/Other,626517,594767,7.3866076436935275
LA,543023,794544,685236,329889,White,White,Unknown/Other,Unknown/Other,1201443,1151249,7.1371045616026105
MA,486394,821395,852621,407320,White,White,Unknown/Other,Unknown/Other,1316044,1251686,7.402616971389
ME,140292,161762,145759,67796,White,White,Unknown/Other,Unknown/Other,264463,251146,7.4888239310655615
MS,248309,433678,416246,207517,White,White,Unknown/Other,Unknown/Other,666250,639500,7.130790023522546
MT,99975,130111,110137,55823,White,White,Unknown/Other,Unknown/Other,203005,193041,7.366977058131943
ND,56962,104395,97477,45162,White,White,Unknown/Other,Unknown/Other,155796,148200,7.5092009634803984
NE,198588,259002,237876,128108,White,White,Unknown/Other,Unknown/Other,422133,401441,7.43493922388861
NH,105965,151485,147317,70055,White,White,Unknown/Other,Unknown/Other,243302,231520,7.522204955083719
NJ,527187,1029084,1139347,562846,White,White,Unknown/Other,Unknown/Other,1669027,1589437,7.306214079615823
NM,109748,242102,270195,136085,White,White,Unknown/Other,Unknown/Other,385646,372484,7.085761703426605
OK,323962,509108,463627,246860,White,White,Unknown/Other,Unknown/Other,791688,751869,7.329752909966825
OR,291726,417276,446756,232342,White,White,Unknown/Other,Unknown/Other,711894,676206,7.53002513689452
SD,57292,120985,107422,55694,White,White,Unknown/Other,Unknown/Other,174470,166923,7.48115490912103
VT,62012,78244,68862,31085,White,White,Unknown/Other,Unknown/Other,123211,116992,7.423994316791069
WV,206622,257491,224845,106536,White,White,Unknown/Other,Unknown/Other,408837,386657,7.318313157234988
WY,38960,85768,60826,30244,White,White,Unknown/Other,Unknown/Other,110594,105204,7.187479050856585
